candidate_name,match_type,matched_target_id,matched_target_name,reason
Ecole Supérieure Spéciale d’Architecture du Cameroun (ESSACA),EXACT_IDENTITY,staging:d99c77c8-7477-4eeb-a842-ffb14e7a7557,Ecole Supérieure Spéciale d’Architecture du Cameroun (ESSACA),nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Experiental Higher Institute of Science and Technology (EXHIST),EXACT_IDENTITY,1b46177a-5d8c-4b26-9877-11bf4a8a8e53,Experiental Higher Institute of Science and Technology (EXHIST),nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Heritage Higher Institute of Peace Development Studies (HEHIPEDS),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (20%) — pas de gagnant clair.
HIPTEX University Institute,EXACT_IDENTITY,staging:19481c97-20a6-4ba4-a560-c053dc2db3d5,HIPTEX University Institute,nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Higher Institute for Professionalism and Excellence (HIPTEX),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
Higher Institute of Management and Entrepreneurship (HIME),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
Higher Institute of technology and Management (CITEC HITM),PROBABLE_MATCH,0b253a9f-bb04-47d9-8934-8d9f5a231ef6,"Paul Nkwi Higher Institute of Management, Science, Arts and Technology (PN-HIMSAT)","chevauchement de mots (50%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
Information and Communication Technology University Institute (ICTU),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
Institut AGENLA Academy,EXACT_IDENTITY,staging:1b2b37f7-d3c9-4551-bb04-6a8f17e249d6,Institut AGENLA Academy,nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Institut Catholique de Yaoundé,AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (50%) — pas de gagnant clair.
Institut de Haute Technologie et Management (IHTM),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
Institut de Management et de Marketing Supérieur de Commerce (I2M Sup de Co Cameroun),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
Institut des Beaux-Arts CHEIKH ANTA DIOP,PROBABLE_MATCH,0b253a9f-bb04-47d9-8934-8d9f5a231ef6,"Paul Nkwi Higher Institute of Management, Science, Arts and Technology (PN-HIMSAT)","chevauchement de mots (20%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
Institut des Sciences Economiques et Informatiques de Gestion (ISEIG),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (20%) — pas de gagnant clair.
Institut MBASSI Supérieur,EXACT_IDENTITY,staging:17e1598c-1f0b-4ab1-ad58-bc7aea1558f6,Institut MBASSI Supérieur,nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Institut Saint Jean,AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (50%) — pas de gagnant clair.
"Institut Supérieur Azimut de Commerce, de Technologie et de Santé",AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
Institut Supérieur d’Agriculture et de Gestion,PROBABLE_MATCH,be435b04-bf87-44da-808d-0033c60c6e66,Institut Supérieur de Commerce et de Gestion (ISCG),"chevauchement de mots (50%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
Institut Supérieur d’Enseignement Managérial et Technologique,EXACT_IDENTITY,staging:cc4196f4-f96b-404c-9bf9-82549af3862b,Institut Supérieur d’Enseignement Managérial et Technologique,nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
"Institut Supérieur d’Etudes Scientifiques, Technologiques et Managériales (ISESTMA)",PROBABLE_MATCH,staging:2613924e-2a12-48bb-9529-de1ae82a6bc6,Institut des Hautes Etudes Supérieures (IHES),"chevauchement de mots (20%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
Institut Supérieur de Chimie et de Gestion,PROBABLE_MATCH,be435b04-bf87-44da-808d-0033c60c6e66,Institut Supérieur de Commerce et de Gestion (ISCG),"chevauchement de mots (50%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
"Institut Supérieur de Formation aux Métiers de Télécommunications, de l’Innovation Technologique, de Commerce et de Gestion (IFTIC-SUP)",PROBABLE_MATCH,be435b04-bf87-44da-808d-0033c60c6e66,Institut Supérieur de Commerce et de Gestion (ISCG),"chevauchement de mots (25%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
Institut Supérieur de Génie Civil (ISGeC),EXACT_IDENTITY,staging:3e0d99d2-d882-4eeb-8a58-e223c4cc25ab,Institut Supérieur de Génie Civil (ISGeC),nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Institut Supérieur de Gestion et d’Hôtellerie (ISGHO),PROBABLE_MATCH,be435b04-bf87-44da-808d-0033c60c6e66,Institut Supérieur de Commerce et de Gestion (ISCG),"chevauchement de mots (33%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
Institut Supérieur de l’Emergence (ISE),EXACT_IDENTITY,staging:4b585880-14ad-49ce-9019-0d5d97106292,Institut Supérieur de l’Emergence (ISE),nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Institut Supérieur de Management et des Sciences Appliquées (ISMASA),PROBABLE_MATCH,3fba2a5d-6438-4f0d-8307-ca2b1b3e9a53,Higher Institute for Business and management Sciences,"chevauchement de mots (50%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
Institut Supérieur de Management et des Technologies Industrielles (ISMTI),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
Institut Supérieur de Management International (ISMI),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
Institut Supérieur de Pétrochimie et d’Ingénierie Mathématique (ISPIM),EXACT_IDENTITY,staging:bfb68d32-efb8-40df-b796-051b6c9e26f2,Institut Supérieur de Pétrochimie et d’Ingénierie Mathématique (ISPIM),nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
"Institut Supérieur de Pétrochimie, de l'Informatique et des Sciences Appliquées (ISPISA)",AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (20%) — pas de gagnant clair.
Institut Supérieur de Technologie Appliquée et de Gestion (ISTAG).,AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
Institut Supérieur de Technologie le Bon Berger,PROBABLE_MATCH,c9ab3adf-edda-4d95-bfd7-2cbce3a64b20,ISTDI – Institut Sup. de Technologie et du Design Industriel,"chevauchement de mots (50%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
Institut Supérieur de Technologie Médicale de Nkolodom,PROBABLE_MATCH,c9ab3adf-edda-4d95-bfd7-2cbce3a64b20,ISTDI – Institut Sup. de Technologie et du Design Industriel,"chevauchement de mots (33%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
"Institut Supérieur de Traduction, d’Interprétariat et de Communication (ISTIC)",PROBABLE_MATCH,staging:89cadd55-58ec-4dd6-be10-a162750257ca,Institut Supérieur d’Informatique et de la Communication (ISICOM),"chevauchement de mots (25%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
Institut Supérieur des Affaires (ISA),EXACT_IDENTITY,staging:38900775-9726-4ec2-8f8b-535d15eca4ac,Institut Supérieur des Affaires (ISA),nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Institut Supérieur des métiers Notre Dame,PROBABLE_MATCH,staging:2f012236-4131-492f-956e-71f67eebbfb3,Institut Supérieur des Métiers (ISMET),"chevauchement de mots (33%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
"Institut Supérieur des Sciences Agronomiques, de l’Environnement et de l’Entrepreneuriat Rural (ISSAEER)",AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (17%) — pas de gagnant clair.
Institut Supérieur des Sciences Biologiques et Appliquées (ISSBA),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
Institut Supérieur des Sciences de la Santé « le Millenium »,AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
Institut Supérieur des Sciences de l’Education (ISSED),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
Institut Supérieur des Sciences de l’Entreprise (ISSE),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
Institut Supérieur des Sciences et de Management (I2SM),PROBABLE_MATCH,3fba2a5d-6438-4f0d-8307-ca2b1b3e9a53,Higher Institute for Business and management Sciences,"chevauchement de mots (67%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
Institut Supérieur des Sciences et des Technologies Sainte Maria,AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
Institut Supérieur des Sciences et Techniques de Yaoundé (ISSTY),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
Institut Supérieur des Sciences et Technologies de la Santé (ISSTS),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
Institut Supérieur des Sciences et Technologies la Sapience,AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
Institut Supérieur des Sciences Sociales et Appliquées (I3SA),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
"Institut Supérieur des Sciences, Arts et Métiers (ISSAM)",AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
Institut Supérieur des Techniques Agricoles d’Ombessa,EXACT_IDENTITY,staging:7c6337bb-c8d3-45fd-97ac-86cae7ec79dd,Institut Supérieur des Techniques Agricoles d’Ombessa,nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Institut Supérieur des Technologies et de l’Innovation,EXACT_IDENTITY,staging:76c314c0-5332-47e9-8129-5b0051ead7f1,Institut Supérieur des Technologies et de l’Innovation,nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Institut Supérieur du Personnel Médico- Sanitaire (ISPM),EXACT_IDENTITY,staging:fbd3b291-3dcf-4c67-97db-8b77c5a20502,Institut Supérieur du Personnel Médico- Sanitaire (ISPM),nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Institut Supérieur Jimit (ISJ),EXACT_IDENTITY,staging:4a880cb7-389b-455f-a512-9792f8248a0f,Institut Supérieur Jimit (ISJ),nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Institut Supérieur la Rosière,EXACT_IDENTITY,staging:04d41866-c920-4993-8d61-e30711ed5506,Institut Supérieur la Rosière,nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Institut Supérieur Kalata (ISKA),EXACT_IDENTITY,staging:40873d9e-ddfa-464b-b286-5abca970501e,Institut Supérieur Kalata (ISKA),nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Institut Supérieur Maritime et de Gestion (ISUMAG),PROBABLE_MATCH,be435b04-bf87-44da-808d-0033c60c6e66,Institut Supérieur de Commerce et de Gestion (ISCG),"chevauchement de mots (33%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
Institut Supérieur Saint Jean-Paul II (ISJP),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
Institut Supérieur Technologique,AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (100%) — pas de gagnant clair.
Institut Universitaire Agricole de Management des Métiers de la Production (IUAMMP),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (17%) — pas de gagnant clair.
Institut universitaire Bengono Touré,PROBABLE_MATCH,a987ba57-1b71-44d1-9f78-d25041a5a306,Institut Universitaire du Golfe de Guinée (IUG),"chevauchement de mots partiel (33%), insuffisant pour STRONG_MATCH."
Institut Universitaire Catholique Sainte Thérèse de Yaoundé (INUCASTY),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (17%) — pas de gagnant clair.
Institut Universitaire d’Eseka (IUE),PROBABLE_MATCH,a987ba57-1b71-44d1-9f78-d25041a5a306,Institut Universitaire du Golfe de Guinée (IUG),"chevauchement de mots partiel (50%), insuffisant pour STRONG_MATCH."
Institut Universitaire des Sciences et de Management (IUSM),PROBABLE_MATCH,3fba2a5d-6438-4f0d-8307-ca2b1b3e9a53,Higher Institute for Business and management Sciences,"chevauchement de mots (50%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
Institut Universitaire des Sciences Pétrolières et de Magement (IUSPM),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (20%) — pas de gagnant clair.
"Institut Universitaire des Sciences, des Technologies et de l’Ethique (IUSTE).",AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (20%) — pas de gagnant clair.
Institut Universitaire International,AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (50%) — pas de gagnant clair.
Institut Universitaire J. NDI SAMBA,PROBABLE_MATCH,a987ba57-1b71-44d1-9f78-d25041a5a306,Institut Universitaire du Golfe de Guinée (IUG),"chevauchement de mots partiel (50%), insuffisant pour STRONG_MATCH."
Institut Universitaire LA VISION,PROBABLE_MATCH,a987ba57-1b71-44d1-9f78-d25041a5a306,Institut Universitaire du Golfe de Guinée (IUG),"chevauchement de mots partiel (50%), insuffisant pour STRONG_MATCH."
Institut Universitaire Protestant de Yaoundé,AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
Institut Universitaire SIANTOU,PROBABLE_MATCH,a987ba57-1b71-44d1-9f78-d25041a5a306,Institut Universitaire du Golfe de Guinée (IUG),"chevauchement de mots partiel (50%), insuffisant pour STRONG_MATCH."
International Bilingual Academy Yaoundé (IBAY-SUP),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
La Centrale des Mé4tiers du Numérique et des Affaires Diockni (CEMENAD),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (17%) — pas de gagnant clair.
"Laureats Higher Institute of Business, Administration and Technology Sciences (LAHIBATS)",AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
Prépa Vogt,PROBABLE_MATCH,staging:1bae808d-159e-448d-8956-fc54c892b36a,Ecole Sup Prépa,"chevauchement de mots partiel (50%), insuffisant pour STRONG_MATCH."
PRIMETEC Higher Institute of Technology,AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (50%) — pas de gagnant clair.
RAPUS International Institute School (RIIS),PROBABLE_MATCH,57cae063-bccf-4727-82ad-d3eb70259205,International University of Bamenda,"chevauchement de mots (33%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
Yaounde School of Economics and Management (YSEM),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
Yaoundé International Business School (YIBS),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
Institut Supérieur d’Agronomie (ISA),EXACT_IDENTITY,staging:5b1055ed-2197-4b06-b8b2-e7f729c534e9,Institut Supérieur d’Agronomie (ISA),nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Institut Universitaire Catholique de Bertoua (IUCAB),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
Institut Supérieur des Métiers de Technologies d'Afrique Centrale,PROBABLE_MATCH,c28c6f88-589f-41b3-834a-e80a7a0a3192,Université Catholique d'Afrique Centrale (UCAC),"chevauchement de mots (50%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
Ecole Supérieure des Sciences Appliquées de Bertoua,AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
Higher Institute for Technology and Professional Studies (HITEPS),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (50%) — pas de gagnant clair.
Institut Supérieur des Techniques Appliquées et de Management,AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
Institut Supérieur Walya (WALYASUP),PROBABLE_MATCH,staging:b6e152f1-a14b-4782-b755-d3d6eda77f81,WALYA SUP,"chevauchement de mots (50%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
Impact Higher Institute of Leadership and International Development,AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
Institut Universitaire de Technologie et des Sciences du Sahel (IUTESSA),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (20%) — pas de gagnant clair.
Institut Supérieur du Sahel pour le Développement Durable (ISSDD),PROBABLE_MATCH,staging:99db304c-1df0-4d0b-9dfd-34fd381c87e7,Institut panafricain pour le Développement (IPD),"chevauchement de mots (40%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
Access Higher Institute of Professional Studies (Access-HIPS),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (40%) — pas de gagnant clair.
Alpha Higher Institute of Biomedical and Technological Sciences,AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (50%) — pas de gagnant clair.
Century Innovating Higher Institute (CINNOHI),EXACT_IDENTITY,staging:bfd3b609-852e-4027-95a1-cd2b421f234c,Century Innovating Higher Institute (CINNOHI),nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Douala Higher Institute of Technology (DIT),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (50%) — pas de gagnant clair.
Dunamis Higher Institute of Applied Professional Studies (DHIAPS),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (40%) — pas de gagnant clair.
Ecole Supérieure d’Ingénieur d’Afrique Centrale (ESIAC),PROBABLE_MATCH,c28c6f88-589f-41b3-834a-e80a7a0a3192,Université Catholique d'Afrique Centrale (UCAC),"chevauchement de mots (50%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
Ecole Supérieure de Commerce et de Management PIGIER Cameroun,AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
Ecole Supérieure des Sciences et Techniques (ESSET),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
Ecole Supérieure Technique la Salle (EST),EXACT_IDENTITY,staging:ebd42661-4b47-47d9-8120-791e7abb74ce,Ecole Supérieure Technique la Salle (EST),nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Higher Institute for Nursing and Technico-Sanitary Personals (HINTP),PROBABLE_MATCH,ae31d758-9761-48cb-9940-364ed017f7e4,ST Jude’s Higher Institute of Nursing and Biomedical,"chevauchement de mots (20%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
Higher Institute of Business,AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (100%) — pas de gagnant clair.
Higher Institute of Professional Excellence (HIPE),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
Institut des Hautes Etudes Supérieures (IHES),EXACT_IDENTITY,staging:2613924e-2a12-48bb-9529-de1ae82a6bc6,Institut des Hautes Etudes Supérieures (IHES),nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
"Institut des Etudes Supérieures de Science, d’Industrie et des Techniques de Gestion (IHES-SITG)",PROBABLE_MATCH,staging:2613924e-2a12-48bb-9529-de1ae82a6bc6,Institut des Hautes Etudes Supérieures (IHES),"chevauchement de mots partiel (38%), insuffisant pour STRONG_MATCH."
Institut panafricain pour le Développement (IPD),EXACT_IDENTITY,staging:99db304c-1df0-4d0b-9dfd-34fd381c87e7,Institut panafricain pour le Développement (IPD),nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Institut Supérieur Africain d’Enseignement Managérial et Technologique,EXACT_IDENTITY,staging:a8067013-bc95-46de-852a-110762c47cb5,Institut Supérieur Africain d’Enseignement Managérial et Technologique,nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Institut Supérieur Africain des Technologies de l'Information et de la Connaissance (ISATIC),EXACT_IDENTITY,staging:c013af83-a753-446e-a587-0a7679a1a56d,Institut Supérieur Africain des Technologies de l'Information et de la Connaissance (ISATIC),nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Institut Supérieur d’Etudes Commerciales et de Management (ISECMA),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
Institut Supérieur d’Informatique et de la Communication (ISICOM),EXACT_IDENTITY,staging:89cadd55-58ec-4dd6-be10-a162750257ca,Institut Supérieur d’Informatique et de la Communication (ISICOM),nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Institut Supérieur Dale Kietzman,EXACT_IDENTITY,staging:f57c1522-de0b-45d3-b673-4b63d1b3e6c7,Institut Supérieur Dale Kietzman,nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Institut Supérieur de Commerce et d’Administration des Collectivités (ISCAC),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
Institut Supérieur de Commerce et de management,AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (50%) — pas de gagnant clair.
Institut Supérieur de Comptabilité et Management (ISCM),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
Institut Supérieur de Gestion (ISG),STRONG_MATCH,be435b04-bf87-44da-808d-0033c60c6e66,Institut Supérieur de Commerce et de Gestion (ISCG),chevauchement de mots fort (100%) + géographie cohérente.
Institut Supérieur de Gestion et de Management (ISGEM),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
Institut Supérieur de Gestion et de Technologie (ISGET),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
Institut Supérieur de Gestion et du Design (ISGD),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
Institut Supérieur de l’Entreprise et du Management (ISEM),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
Institut Supérieur de Management de Manengouba (ISMAM),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
Institut Supérieur de Management (ISMA),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (50%) — pas de gagnant clair.
Institut Supérieur de Management et de l’Entrepreneuriat,AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (50%) — pas de gagnant clair.
Institut Supérieur de Management et de Technologies Avancées (ISMT),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
Institut Supérieur de Psychopédagogie Appliquée (ISPPA),EXACT_IDENTITY,staging:16cff835-0e65-4ef9-b883-99653444a183,Institut Supérieur de Psychopédagogie Appliquée (ISPPA),nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Institut Supérieur de Technologie Avancée et du Management Douala (ISTAMA),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (20%) — pas de gagnant clair.
Institut Supérieur de Technologie et de Gestion,AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (50%) — pas de gagnant clair.
Institut Supérieur de Technologie et de Gestion d’Afrique centrale (ISTG-AC),PROBABLE_MATCH,c28c6f88-589f-41b3-834a-e80a7a0a3192,Université Catholique d'Afrique Centrale (UCAC),"chevauchement de mots (40%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
