program,region,status,row_count,numbering_reset_ok,program_verdict
Optique Réfraction,Est,ZERO_ROWS_CONFIRMED,0,N/A,SAFE
Optique Réfraction,Extrême-Nord,ZERO_ROWS_CONFIRMED,0,N/A,SAFE
Optique Réfraction,Littoral,PARSED,1,true,SAFE
Optique Réfraction,Nord,ZERO_ROWS_CONFIRMED,0,N/A,SAFE
Optique Réfraction,Nord-Ouest,ZERO_ROWS_CONFIRMED,0,N/A,SAFE
Optique Réfraction,Ouest,ZERO_ROWS_CONFIRMED,0,N/A,SAFE
Optique Réfraction,Sud,ZERO_ROWS_CONFIRMED,0,N/A,SAFE
Optique Réfraction,Sud-Ouest,ZERO_ROWS_CONFIRMED,0,N/A,SAFE
Prothèse Dentaire,Adamaoua,ZERO_ROWS_CONFIRMED,0,N/A,SAFE
Prothèse Dentaire,Centre,PARSED,5,true,SAFE
Prothèse Dentaire,Est,ZERO_ROWS_CONFIRMED,0,N/A,SAFE
Prothèse Dentaire,Extrême-Nord,ZERO_ROWS_CONFIRMED,0,N/A,SAFE
Prothèse Dentaire,Littoral,ZERO_ROWS_CONFIRMED,0,N/A,SAFE
Prothèse Dentaire,Nord,ZERO_ROWS_CONFIRMED,0,N/A,SAFE
Prothèse Dentaire,Nord-Ouest,ZERO_ROWS_CONFIRMED,0,N/A,SAFE
Prothèse Dentaire,Ouest,ZERO_ROWS_CONFIRMED,0,N/A,SAFE
Prothèse Dentaire,Sud,PARSED,1,true,SAFE
Prothèse Dentaire,Sud-Ouest,ZERO_ROWS_CONFIRMED,0,N/A,SAFE
Sages-femmes/Maïeuticiens,Adamaoua,PARSED,4,true,SAFE
Sages-femmes/Maïeuticiens,Centre,PARSED,20,true,SAFE
Sages-femmes/Maïeuticiens,Est,PARSED,2,true,SAFE
Sages-femmes/Maïeuticiens,Extrême-Nord,PARSED,8,true,SAFE
Sages-femmes/Maïeuticiens,Littoral,PARSED,7,true,SAFE
Sages-femmes/Maïeuticiens,Nord,PARSED,5,true,SAFE
Sages-femmes/Maïeuticiens,Nord-Ouest,PARSED,2,true,SAFE
Sages-femmes/Maïeuticiens,Ouest,PARSED,5,true,SAFE
Sages-femmes/Maïeuticiens,Sud,PARSED,3,true,SAFE
Sages-femmes/Maïeuticiens,Sud-Ouest,PARSED,1,true,SAFE
Sciences Pharmaceutiques,Adamaoua,PARSED,1,true,QUARANTINED_STRUCTURE_AMBIGUOUS
Sciences Pharmaceutiques,Centre,PARSED,16,true,QUARANTINED_STRUCTURE_AMBIGUOUS
Sciences Pharmaceutiques,Est,PARSED,3,false,QUARANTINED_STRUCTURE_AMBIGUOUS
Sciences Pharmaceutiques,Extrême-Nord,REGION_NOT_PARSED,0,N/A,QUARANTINED_STRUCTURE_AMBIGUOUS
Sciences Pharmaceutiques,Littoral,PARSED,6,true,QUARANTINED_STRUCTURE_AMBIGUOUS
Sciences Pharmaceutiques,Nord,REGION_NOT_PARSED,0,N/A,QUARANTINED_STRUCTURE_AMBIGUOUS
Sciences Pharmaceutiques,Nord-Ouest,PARSED,2,true,QUARANTINED_STRUCTURE_AMBIGUOUS
Sciences Pharmaceutiques,Ouest,PARSED,3,true,QUARANTINED_STRUCTURE_AMBIGUOUS
Sciences Pharmaceutiques,Sud,PARSED,1,true,QUARANTINED_STRUCTURE_AMBIGUOUS
Sciences Pharmaceutiques,Sud-Ouest,REGION_NOT_PARSED,0,N/A,QUARANTINED_STRUCTURE_AMBIGUOUS
Psychomotricité et Relaxation,Adamaoua,ZERO_ROWS_CONFIRMED,0,N/A,SAFE
Psychomotricité et Relaxation,Centre,PARSED,1,true,SAFE
Psychomotricité et Relaxation,Est,ZERO_ROWS_CONFIRMED,0,N/A,SAFE
Psychomotricité et Relaxation,Extrême-Nord,PARSED,1,true,SAFE
Psychomotricité et Relaxation,Littoral,PARSED,1,true,SAFE
Psychomotricité et Relaxation,Nord,ZERO_ROWS_CONFIRMED,0,N/A,SAFE
Psychomotricité et Relaxation,Nord-Ouest,ZERO_ROWS_CONFIRMED,0,N/A,SAFE
Psychomotricité et Relaxation,Ouest,ZERO_ROWS_CONFIRMED,0,N/A,SAFE
Psychomotricité et Relaxation,Sud,ZERO_ROWS_CONFIRMED,0,N/A,SAFE
Psychomotricité et Relaxation,Sud-Ouest,ZERO_ROWS_CONFIRMED,0,N/A,SAFE
