candidate_id,name,ministries,previous_status,source_1,source_1_tier,source_2,source_2_tier,independent_source_count,official_source_found,identity_confidence,geo_confidence,category_confidence,duplicate_signal,cross_ministry_signal,official_identifier,identifier_source,final_certainty,publication_decision,reason
MINESUP-E:Chartered Higher Institute of Technology and Management (CHITECHMA),Chartered Higher Institute of Technology and Management (CHITECHMA),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,"chevauchement de mots (50%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
MINESUP-E:Citec Higher Institute of Technology and Management (ICTU),Citec Higher Institute of Technology and Management (ICTU),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,"chevauchement de mots (50%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
"MINESUP-E:Comfort Higher Institute of Health, Management and Education (CHIHME)","Comfort Higher Institute of Health, Management and Education (CHIHME)",MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (20%) — pas de gagnant clair.
MINESUP-E:Douala Higher Institute of Technology (DIT),Douala Higher Institute of Technology (DIT),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (50%) — pas de gagnant clair.
MINESUP-E:Dunamis Higher Institute of Applied Professional Studies (DHIAPS),Dunamis Higher Institute of Applied Professional Studies (DHIAPS),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (40%) — pas de gagnant clair.
MINESUP-E:Ecole Supérieure Africaine de Technologies Appliquées et de Gestion (ESATAG),Ecole Supérieure Africaine de Technologies Appliquées et de Gestion (ESATAG),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,"chevauchement de mots (40%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
MINESUP-E:Ecole Supérieure de Commerce et de Gestion de Yaoundé (ESCGY),Ecole Supérieure de Commerce et de Gestion de Yaoundé (ESCGY),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,"chevauchement de mots (50%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
MINESUP-E:Ecole Supérieure de Commerce et de Gestion des Entreprises (SUP de CO),Ecole Supérieure de Commerce et de Gestion des Entreprises (SUP de CO),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,"chevauchement de mots (67%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
MINESUP-E:Ecole Supérieure de Commerce et de Management PIGIER Cameroun,Ecole Supérieure de Commerce et de Management PIGIER Cameroun,MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
MINESUP-E:Ecole Supérieure de Management et des Technologies Appliquées « ESMATA»,Ecole Supérieure de Management et des Technologies Appliquées « ESMATA»,MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,"chevauchement de mots (50%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
MINESUP-E:Ecole Supérieure des Sciences Appliquées de Bertoua,Ecole Supérieure des Sciences Appliquées de Bertoua,MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
"MINESUP-E:Ecole Supérieure des Sciences de la Finance, de l’Assurance et des Risques de Yaoundé (ESSFAR)","Ecole Supérieure des Sciences de la Finance, de l’Assurance et des Risques de Yaoundé (ESSFAR)",MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (17%) — pas de gagnant clair.
MINESUP-E:Ecole Supérieure des Sciences et Techniques (ESSET),Ecole Supérieure des Sciences et Techniques (ESSET),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
MINESUP-E:Ecole Supérieure d’Ingénieur d’Afrique Centrale (ESIAC),Ecole Supérieure d’Ingénieur d’Afrique Centrale (ESIAC),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,"chevauchement de mots (50%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
MINESUP-E:Ejed Higher Institute of Management and Biomedical Sciences (EHIMBS),Ejed Higher Institute of Management and Biomedical Sciences (EHIMBS),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (40%) — pas de gagnant clair.
MINESUP-E:Formulaire pour la demande d'équivalence des diplômes au MINESUP : Version française   ;  Version anglaise,Formulaire pour la demande d'équivalence des diplômes au MINESUP : Version française   ;  Version anglaise,MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,"chevauchement de mots (10%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
"MINESUP-E:Formulaire pour le Duplicata, Attestation de non délivrance de diplôme, Correction, Attestation de diplôme non éditée, Relevé échec non édité, Diplôme non édité, certification/Authentification : Formulaire","Formulaire pour le Duplicata, Attestation de non délivrance de diplôme, Correction, Attestation de diplôme non éditée, Relevé échec non édité, Diplôme non édité, certification/Authentification : Formulaire",MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,"chevauchement de mots (6%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
"MINESUP-E:Gulf-Field Higher Institute of Petroleum, Mining, Business and Management Sciences (GFHIP)","Gulf-Field Higher Institute of Petroleum, Mining, Business and Management Sciences (GFHIP)",MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,"chevauchement de mots (38%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
MINESUP-E:Heritage Higher Institute of Peace Development Studies (HEHIPEDS),Heritage Higher Institute of Peace Development Studies (HEHIPEDS),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (20%) — pas de gagnant clair.
MINESUP-E:Higher Institute for Nursing and Technico-Sanitary Personals (HINTP),Higher Institute for Nursing and Technico-Sanitary Personals (HINTP),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,"chevauchement de mots (20%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
MINESUP-E:Higher Institute for Professionalism and Excellence (HIPTEX),Higher Institute for Professionalism and Excellence (HIPTEX),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
MINESUP-E:Higher Institute for Technology and Professional Studies (HITEPS),Higher Institute for Technology and Professional Studies (HITEPS),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (50%) — pas de gagnant clair.
MINESUP-E:Higher Institute of Applied Medical Sciences Buea,Higher Institute of Applied Medical Sciences Buea,MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
MINESUP-E:Higher Institute of Business,Higher Institute of Business,MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (100%) — pas de gagnant clair.
MINESUP-E:Higher Institute of Business and Management Studies (HIBMS),Higher Institute of Business and Management Studies (HIBMS),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (50%) — pas de gagnant clair.
MINESUP-E:Higher Institute of Management Studies,Higher Institute of Management Studies,MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (50%) — pas de gagnant clair.
MINESUP-E:Higher Institute of Management and Entrepreneurship (HIME),Higher Institute of Management and Entrepreneurship (HIME),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
MINESUP-E:Higher Institute of Professional Excellence (HIPE),Higher Institute of Professional Excellence (HIPE),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
MINESUP-E:Higher Institute of Professional Studies and Career Development,Higher Institute of Professional Studies and Career Development,MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (50%) — pas de gagnant clair.
MINESUP-E:Higher Institute of Sciences and Technology (HIST),Higher Institute of Sciences and Technology (HIST),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
MINESUP-E:Higher Institute of Technology,Higher Institute of Technology,MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (100%) — pas de gagnant clair.
MINESUP-E:Higher Institute of Technology and Management Sciences (PAC-LAB HITMS),Higher Institute of Technology and Management Sciences (PAC-LAB HITMS),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (50%) — pas de gagnant clair.
MINESUP-E:Higher Institute of technology and Management (CITEC HITM),Higher Institute of technology and Management (CITEC HITM),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,"chevauchement de mots (50%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
MINESUP-E:ISEC Higher Institute of Health and Human Services,ISEC Higher Institute of Health and Human Services,MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
MINESUP-E:Impact Higher Institute of Leadership and International Development,Impact Higher Institute of Leadership and International Development,MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
MINESUP-E:Information and Communication Technology University Institute (ICTU),Information and Communication Technology University Institute (ICTU),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
MINESUP-E:Institut Catholique Bonneau d’Ebolowa (ICABE),Institut Catholique Bonneau d’Ebolowa (ICABE),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
MINESUP-E:Institut Catholique de Bafoussam (ICAB),Institut Catholique de Bafoussam (ICAB),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
MINESUP-E:Institut Catholique de Yaoundé,Institut Catholique de Yaoundé,MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (50%) — pas de gagnant clair.
MINESUP-E:Institut Privé des Sciences de la Santé de Sangmelima (IPSSSA),Institut Privé des Sciences de la Santé de Sangmelima (IPSSSA),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
MINESUP-E:Institut Saint Jean,Institut Saint Jean,MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (50%) — pas de gagnant clair.
"MINESUP-E:Institut Supérieur Azimut de Commerce, de Technologie et de Santé","Institut Supérieur Azimut de Commerce, de Technologie et de Santé",MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
MINESUP-E:Institut Supérieur Camille Chazeaud,Institut Supérieur Camille Chazeaud,MINESUP,SOURCE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,SOURCE_REVIEW,,,NO,NO,,,UNRESOLVED,DO_NOT_PUBLISH_THIS_SPRINT,SOURCE_REVIEW
MINESUP-E:Institut Supérieur Evangélique des Technologies et de Gestion (ISETAG),Institut Supérieur Evangélique des Technologies et de Gestion (ISETAG),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
MINESUP-E:Institut Supérieur Hintel,Institut Supérieur Hintel,MINESUP,SOURCE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,SOURCE_REVIEW,,,NO,NO,,,UNRESOLVED,DO_NOT_PUBLISH_THIS_SPRINT,SOURCE_REVIEW
MINESUP-E:Institut Supérieur Industriel et Commercial de Garoua,Institut Supérieur Industriel et Commercial de Garoua,MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,"chevauchement de mots (33%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
MINESUP-E:Institut Supérieur Industriel et Commercial de Garoua (ISIC),Institut Supérieur Industriel et Commercial de Garoua (ISIC),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,"chevauchement de mots (25%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
MINESUP-E:Institut Supérieur Lead (ISL),Institut Supérieur Lead (ISL),MINESUP,SOURCE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,SOURCE_REVIEW,,,NO,NO,,,UNRESOLVED,DO_NOT_PUBLISH_THIS_SPRINT,SOURCE_REVIEW
MINESUP-E:Institut Supérieur Maritime et de Gestion (ISUMAG),Institut Supérieur Maritime et de Gestion (ISUMAG),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,"chevauchement de mots (33%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
