staging_id,name_raw,region,previous_classification,category_evidence_type,new_category_decision,cross_ministry_decision,new_classification,reason
92c96f6f-bf11-4de7-b9cf-44f2be0564b4,ECOLE DES PROFESSIONNELS DE LA SANTE LES ETOILES DE BAFOUSSAM,Ouest,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,CATEGORY_REVIEW,DISTINCT,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, et aucune corroboration officielle externe suffisante trouvée par la recherche ciblée MINSANTE-C (voir research_note). §8 : CATEGORY_REVIEW maintenu plutôt qu'une catégorie devinée."
273f8980-4983-4ae8-b3c1-8b1036dfd43d,ECOLE DES SCIENCES DE LA SANTE DE L'INSTITUT SUPERIEUR DE BAFANG,Ouest,CLEAN_APPROVABLE,EXPLICIT_LEVEL_WORD_IN_OFFICIAL_TITLE,SUPERIEUR_CONFIRMED,DISTINCT,CLEAN_APPROVABLE,"Catégorie résolue (SUPERIEUR_CONFIRMED), aucun signal de doublon (live/dédup intra-lot), aucun signal frontière inter-ministérielle, aucun problème de source, aucune PII."
276633af-df10-4d1e-b91e-596c7a50ed34,ECOLE DES METIERS DE LA SANTE EMES DE BAMOUGOUM,Ouest,DUPLICATE_REVIEW,INSUFFICIENT_EVIDENCE,CATEGORY_REVIEW,DISTINCT,DUPLICATE_REVIEW,§17 — statut DUPLICATE_REVIEW préservé tel quel (ambiguïté de dédoublonnage intra-lot MINSANTE-B non résolue ce sprint) — la catégorie/frontière inter-ministérielle ne le change jamais automatiquement.
5f99f3be-fd64-4d9a-a8fd-709d9e4f0821,"ECOLE PRIVEE DE FORMATION DES PERSONNELS SANITAIRES ""SAINT JOSEPH"" DE BAFOUSSAM",Ouest,DUPLICATE_REVIEW,INSUFFICIENT_EVIDENCE,CATEGORY_REVIEW,DISTINCT,DUPLICATE_REVIEW,§17 — statut DUPLICATE_REVIEW préservé tel quel (ambiguïté de dédoublonnage intra-lot MINSANTE-B non résolue ce sprint) — la catégorie/frontière inter-ministérielle ne le change jamais automatiquement.
0e0202b8-3175-4db9-890d-0294057239a1,ECOLE PRIVEE DE FORMATION DU PERSONNEL DE LA SANTE DE BAFOUSSAM,Ouest,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,CATEGORY_REVIEW,DISTINCT,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, et aucune corroboration officielle externe suffisante trouvée par la recherche ciblée MINSANTE-C (voir research_note). §8 : CATEGORY_REVIEW maintenu plutôt qu'une catégorie devinée."
27a2a636-eced-4971-8f62-67d8d1028ab3,"INSTITUT TROPICAL DE FORMATION EN PLAIES CHRONIQUES ET EN SOINS INFIRMIERS ""MOULLEC"" DE BALEVENG",Ouest,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,CATEGORY_REVIEW,DISTINCT,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, et aucune corroboration officielle externe suffisante trouvée par la recherche ciblée MINSANTE-C (voir research_note). §8 : CATEGORY_REVIEW maintenu plutôt qu'une catégorie devinée."
9c4b9a28-1aa2-4fc2-baa8-48d3919758f7,ECOLE PRIVEE FONDATION TCHUENTE DE BAFOUSSAM,Ouest,DUPLICATE_REVIEW,INSUFFICIENT_EVIDENCE,CATEGORY_REVIEW,DISTINCT,DUPLICATE_REVIEW,§17 — statut DUPLICATE_REVIEW préservé tel quel (ambiguïté de dédoublonnage intra-lot MINSANTE-B non résolue ce sprint) — la catégorie/frontière inter-ministérielle ne le change jamais automatiquement.
f56097c9-ac2a-4bae-95af-2838aed0033f,INSTITUT DES SCIENCES DE LA SANTE POOLA DE BAFOUSSAM,Ouest,DUPLICATE_REVIEW,INSUFFICIENT_EVIDENCE,CATEGORY_REVIEW,DISTINCT,DUPLICATE_REVIEW,§17 — statut DUPLICATE_REVIEW préservé tel quel (ambiguïté de dédoublonnage intra-lot MINSANTE-B non résolue ce sprint) — la catégorie/frontière inter-ministérielle ne le change jamais automatiquement.
bbf4f625-3574-4bfa-b17a-278282b3bb6f,INSTITUT DES SCIENCES ET TECHNIQUES MEDICO-SANITAIRES DE BAFOUSSAM,Ouest,DUPLICATE_REVIEW,INSUFFICIENT_EVIDENCE,CATEGORY_REVIEW,DISTINCT,DUPLICATE_REVIEW,§17 — statut DUPLICATE_REVIEW préservé tel quel (ambiguïté de dédoublonnage intra-lot MINSANTE-B non résolue ce sprint) — la catégorie/frontière inter-ministérielle ne le change jamais automatiquement.
500e77b8-68a9-4e4f-8e0f-032890ff8520,INSTITUT DES SCIENCES MEDICO-SANITAIRES LES ARGUS DE BANDJOUN,Ouest,DUPLICATE_REVIEW,INSUFFICIENT_EVIDENCE,CATEGORY_REVIEW,DISTINCT,DUPLICATE_REVIEW,§17 — statut DUPLICATE_REVIEW préservé tel quel (ambiguïté de dédoublonnage intra-lot MINSANTE-B non résolue ce sprint) — la catégorie/frontière inter-ministérielle ne le change jamais automatiquement.
a2f1cf0b-520e-42b1-bb84-81a20f9de8a3,INSTITUT INTERNATIONAL DE FORMATION DE PERSONNELS PARAMEDICAUX IFOPP DE FOUMBOT,Ouest,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,CATEGORY_REVIEW,DISTINCT,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, et aucune corroboration officielle externe suffisante trouvée par la recherche ciblée MINSANTE-C (voir research_note). §8 : CATEGORY_REVIEW maintenu plutôt qu'une catégorie devinée."
6b365ea6-5cb6-43b0-ac22-cabd3a60b8e5,INSTITUT UNIVERSITAIRE ROYAL BABOUTCHA NINTCHEU (IURB) DE BAFANG,Ouest,CLEAN_APPROVABLE,EXPLICIT_LEVEL_WORD_IN_OFFICIAL_TITLE,SUPERIEUR_CONFIRMED,DISTINCT,CLEAN_APPROVABLE,"Catégorie résolue (SUPERIEUR_CONFIRMED), aucun signal de doublon (live/dédup intra-lot), aucun signal frontière inter-ministérielle, aucun problème de source, aucune PII."
